source,target
50393960,1481905722
50393960,19395722
50393960,49686679
50393960,177989708
50393960,32189132
50393960,14123751
50393960,230940060
50393960,324963843
50393960,56720051
50393960,2748525155
50393960,148529707
50393960,284241195
50393960,1051053836
50393960,322627086
50393960,21323268
50393960,19407053
50393960,4901370880
50393960,243170507
50393960,552582271
50393960,1051313198
50393960,2829251164
50393960,141052723
50393960,19546277
50393960,4855801089
50393960,39930469
50393960,14761795
50393960,15568127
50393960,89043072
50393960,89820928
50393960,20466215
50393960,76511168
50393960,17623957
50393960,18084100
50393960,3290364847
50393960,7846
50393960,9451052
50393960,20108560
50393960,15332636
50393960,20571756
50393960,17000457
50393960,1138959692
50393960,2879159713
50393960,104397959
50393960,15072847
50393960,1107168704054333440
50393960,1910275470
50393960,3518987232
50393960,2855337030
50393960,125481462
50393960,16534711
50393960,32875790
50393960,11859822
50393960,235157481
50393960,86972419
50393960,326838666
50393960,297562837
50393960,8983712
50393960,22957295
50393960,8527372
50393960,292619181
50393960,15876379
50393960,6107422
50393960,61781260
50393960,2459371
50393960,27801361
50393960,10194682
50393960,75014376
50393960,24980246
50393960,46804512
50393960,1098916625418473472
50393960,821434482221715456
50393960,280430548
50393960,121208305
50393960,322603418
50393960,11680312
50393960,332617373
50393960,245396123
50393960,66494320
50393960,2439700397
50393960,1131093438714269696
50393960,1540288783
50393960,17962204
50393960,89517005
50393960,47763245
50393960,18860860
50393960,561545649
50393960,12530332
50393960,26012202
50393960,47331384
50393960,38647512
50393960,382636861
50393960,18266688
50393960,148107357
50393960,33174013
50393960,49616273
50393960,882710790196916224
50393960,176835393
50393960,59331128
50393960,18177126
50393960,224659331
50393960,27830610
50393960,1122734118003970054
50393960,34461692
50393960,3135894413
50393960,747064131166044160
50393960,1163414322820898818
50393960,395534057
50393960,2792590068
50393960,312585018
50393960,19608297
50393960,282735852
50393960,2259895735
50393960,75509967
50393960,2222673457
50393960,41994903
50393960,1180181301095215104
50393960,137501141
50393960,3066170102
50393960,50940456
50393960,19110632
50393960,18677260
50393960,3195101014
50393960,337886919
50393960,1662472286
50393960,592912724
50393960,441598184
50393960,21362105
50393960,242253020
50393960,149915877
50393960,26206778
50393960,66857043
50393960,46155808
50393960,23465218
50393960,252751061
50393960,48065544
50393960,2389227352
50393960,113317910
50393960,577459091
50393960,118757160
50393960,286520757
50393960,69825140
50393960,1734786326
50393960,2820351699
50393960,2833074554
50393960,2647112149
50393960,612047587
50393960,758616167313448960
50393960,404112499
50393960,87944731
50393960,241876167
50393960,26467791
50393960,240605588
50393960,299273962
50393960,770781940341288960
50393960,1565490270
50393960,1091915908006715392
50393960,1229167264240488448
50393960,65537597
50393960,88749392
50393960,23855299
50393960,60293310
50393960,268607705
50393960,18776017
50393960,212162328
50393960,268420958
50393960,112897540
50393960,47865477
50393960,62603893
50393960,70468535
50393960,233842454
50393960,339061487
50393960,4424140333
50393960,40059553
50393960,365956744
50393960,395469418
50393960,1077884605
50393960,4421672747
50393960,950824252562903040
50393960,574168493
50393960,7334402
50393960,4519121
50393960,803694179079458816
50393960,6708952
50393960,177265607
44196397,5402612
44196397,11348282
44196397,17471979
44196397,19725644
44196397,34743251
44196397,13298072
44196397,1582853809
44196397,14647570
44196397,1451773004
44196397,23504870
44196397,37710752
44196397,18948541
44196397,21447363
44196397,15492359
44196397,65647594
44196397,816653
44196397,47285504
44196397,29873662
44196397,19658826
44196397,14372486
44196397,729468343
44196397,18646108
44196397,14575107
44196397,759251
44196397,169686021
44196397,465965880
44196397,24674124
44196397,8161232
44196397,18164420
44196397,186154646
44196397,15165493
44196397,18244358
44196397,104249727
44196397,4119741
44196397,3429950987
44196397,23172966
44196397,20540138
44196397,412228657
44196397,749895011882328064
44196397,349513956
44196397,1059194370
44196397,369583954
44196397,2309138419
44196397,757303975
44196397,379408088
44196397,1344951
44196397,24929621
44196397,47786101
44196397,580097412
44196397,16184358
44196397,26589987
44196397,16228398
44196397,826435033695211520
44196397,19161423
44196397,45266183
44196397,16027904
44196397,30261067
44196397,19562228
44196397,18927441
44196397,214201922
44196397,21879024
44196397,31353077
44196397,339754094
44196397,905827798874456065
44196397,113764867
44196397,39344374
44196397,57928790
44196397,57998991
44196397,54730258
44196397,16017475
44196397,21268897
44196397,27091468
44196397,1435461
44196397,259925559
44196397,262794965
44196397,22009731
44196397,34713362
44196397,20402945
44196397,18622869
44196397,5943942
44196397,138203134
44196397,14515799
44196397,138182116
44196397,1068334971310358529
44196397,25029495
44196397,8963722
44196397,46220856
44196397,21436960
44196397,104201057
44196397,49012699
44196397,17842366
44196397,15066760
44196397,823307478360150018
44196397,937499232
44196397,886656472330887168
44196397,517077573
44196397,62290422
44196397,146290693
44196397,13236602
44196397,2233154425
44196397,22461427
44196397,2257093789
44196397,34900333
44196397,18825961
44196397,23690344
44196397,45055696
44196397,14260960
44196397,174110843
44196397,356314733
44196397,48410093
44196397,403246803
44196397,32117870
44196397,1666038950
44196397,352145373
44196397,20713061
44196397,196168350
44196397,79708561
44196397,9300262
44196397,2227540266
44196397,885105865
44196397,13058232
44196397,947625320772927489
44196397,5746452
44196397,68462484
44196397,37381709
44196397,237312687
44196397,55607413
44196397,2417586104
44196397,14515734
44196397,50772918
44196397,8071902
44196397,358545917
44196397,289969718
44196397,7400702
44196397,38671739
44196397,526611105
44196397,18225368
44196397,580224794
44196397,39151934
44196397,251757612
44196397,258600324
44196397,33232139
44196397,18988524
44196397,155642429
44196397,34082810
44196397,15227791
44196397,19040598
44196397,91390383
44196397,168767461
44196397,240884573
44196397,51580744
44196397,86395621
44196397,141021153
44196397,995979576
44196397,241312286
44196397,1187330941
44196397,12044602
44196397,117652722
44196397,14739684
44196397,3624914532
44196397,1117786405
44196397,19568591
44196397,69687111
44196397,1016008321
44196397,87318558
44196397,92727851
44196397,193494089
44196397,79312312
44196397,25456478
44196397,1109968586
44196397,125103240
44196397,737753951697666049
44196397,1072771758
44196397,819543872883884032
44196397,819914948361023489
44196397,577401044
44196397,1227904667163734016
44196397,21845792
44196397,61541821
44196397,980068865458786304
44196397,902926941413453824
44196397,4826209539
44196397,15350768
44196397,24580902
44196397,52772429
44196397,1004481287900618753
44196397,224934050
44196397,55520719
44196397,63662120
44196397,283916211
44196397,28406270
44196397,27022632
44196397,25845428
44196397,310463188
44196397,19777398
44196397,3327720838
44196397,115044590
44196397,166747718
44196397,410409666
44196397,17536486
44196397,196415460
44196397,18734310
44196397,17070787
44196397,183749519
44196397,14130366
44196397,293624877
44196397,180004522
44196397,2810331345
44196397,39297068
44196397,14669951
44196397,46408217
44196397,351009963
44196397,16683634
44196397,2434538047
44196397,29653923
44196397,2835276183
44196397,18379614
44196397,561684253
44196397,21158690
44196397,24585498
44196397,16318114
44196397,20182642
44196397,18278629
44196397,19120191
44196397,17060573
44196397,61044794
44196397,9532402
44196397,16896485
44196397,17454769
44196397,44588485
44196397,19875548
44196397,3365454845
44196397,348378205
44196397,20578408
44196397,15425377
44196397,14517899
44196397,18055737
44196397,14939981
44196397,961445378
44196397,826288847562559488
44196397,2868663736
44196397,375481345
44196397,19477583
44196397,403255314
44196397,3579012568
44196397,102382667
44196397,16679529
44196397,22677790
44196397,257400398
44196397,20490840
44196397,21522338
44196397,1160492543701901312
44196397,24236494
44196397,125128723
44196397,16378486
44196397,17579312
44196397,17939037
